#StationID,WaypointID,StationType
TruckL1,101,truck
TruckL2,102,truck
TruckL3,103,truck
TruckL4,104,truck
TruckL5,105,truck
TruckL6,106,truck
TruckL7,107,truck
TruckL8,108,truck
Platform1,1,platform
Platform2,2,platform
Platform3,3,platform
Temp1,1001,temporary
Temp2,1002,temporary
Temp3,1003,temporary
Temp4,1004,temporary
Temp5,1005,temporary
Temp6,1006,temporary


